,User,Location,Tweet
118,ajiraKE,"Nairobi, Kenya",ajiraKE ikoKaziKe
119,ajiraKE,"Nairobi, Kenya",merciepoetess Signup at and get leads for jobs IkoKaziKE ajiraKE
120,ajiraKE,"Nairobi, Kenya",mercymurugi potentash You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
121,ajiraKE,"Nairobi, Kenya",hustonmalande You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
122,ajiraKE,"Nairobi, Kenya",bkangongoi You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
123,ajiraKE,"Nairobi, Kenya",HRMMAdvocates You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
124,ajiraKE,"Nairobi, Kenya",Wanjamuchiri2 Signup at and get leads for jobs IkoKaziKE ajiraKE
125,ajiraKE,"Nairobi, Kenya",edgeKenya You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
126,ajiraKE,"Nairobi, Kenya",pmwesha Signup at and get leads for jobs IkoKaziKE ajiraKE
127,ajiraKE,"Nairobi, Kenya",Lakwetab You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
128,ajiraKE,"Nairobi, Kenya",MiatuTheWolf You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
129,ajiraKE,"Nairobi, Kenya",AntonnioWright You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
130,ajiraKE,"Nairobi, Kenya",BrendaNjogo You can now post all your jobs at and get quality applicants
131,ajiraKE,"Nairobi, Kenya",OndutoJuma Signup at and get leads for jobs IkoKaziKE ajiraKE
132,ajiraKE,"Nairobi, Kenya",iprey Sign up at and get leads ikoKaziKe ajiraKE
133,ajiraKE,"Nairobi, Kenya",We are finally live Sign up at and get that job done
134,ajiraKE,"Nairobi, Kenya",A peek into what is coming up on this platform count down to launch continues
135,ajiraKE,"Nairobi, Kenya",I teaser of whats coming up Count down to launch continues
136,ajiraKE,"Nairobi, Kenya",We are counting down to our platform launch
137,ajiraKE,"Nairobi, Kenya",GhettoRadio895 Sheng words zote ziko hapa gt Mafans pia wanaweza add more words Brekko
138,ajiraKE,"Nairobi, Kenya",ADELLEO and ShaffieWeru rocking on Kiss100kenya AdelleAndShaffieOnKISS ShengDictionary LetsLearnSheng
139,ajiraKE,"Nairobi, Kenya",sunnysunwords english is not common sense LetsLearnSheng
140,ajiraKE,"Nairobi, Kenya",Mwirigi coldtusker it should They are actually the worst polluters
141,ajiraKE,"Nairobi, Kenya",Hello Twitter myfirstTweet
